borough,neighborhood,latitude,longitude,studio_2021,br_1_2021,br_2_2021,no_of_school,no_of_hospital,no_of_restaurant,no_of_bank,no_of_bar,no_of_busstation,no_of_cafe,criminal_rate,population_2020
Queens,Queens Village,40.7188930922,-73.7387148458,2750,1650,2000,3,0,8,1,7,4,3, 1235,54345
Queens,Queensboro Hill,40.7445723093,-73.8258091511,1800,2000,2200,4,2,8,1,5,7,3, 815,23638
Queens,Queensbridge,40.7560912971,-73.9456307033,2520,2800,3080,3,2,2,1,3,1,2, 2414,16477
Staten Island,Randall Manor,40.6356300068,-74.0980506237,1350,1500,1750,1,0,2,0,1,0,0, 582,10239
Queens,Ravenswood,40.7617045261,-73.9315750607,2520,2800,3080,4,0,4,2,43,8,20, 2921,16477
Brooklyn,Red Hook,40.6762532303,-74.0127589747,1673,2000,2400,3,0,5,1,22,0,4, 865,14791
Queens,Rego Park,40.7289740948,-73.8578268691,1675,1850,2300,5,0,4,2,5,3,3, 2145,30741
Brooklyn,Remsen Village,40.6521174518,-73.9166533198,1811,1695,1980,3,1,5,1,3,1,2, 2877,19557
Queens,Richmond Hill,40.6979473147,-73.8318332145,1675,1650,2100,2,0,4,1,21,3,1, 1864,34100
Staten Island,Richmond Town,40.5696059428,-74.1340572986,1350,1500,1750,1,0,2,1,0,0,1, 239,11194
Staten Island,Richmond Valley,40.5195414575,-74.2295708063,1350,1500,1750,1,0,3,1,5,0,0, 116,34058
Queens,Ridgewood,40.7083231561,-73.9014351756,1375,1800,2000,4,1,8,2,50,14,27, 2254,66402
Bronx,Riverdale,40.8908344939,-73.9125854611,1800,1850,2600,2,0,4,1,4,0,1, 574,47927
Manhattan,Riverside Dr./West End Ave.,40.836572,-73.948488,1864,2731,4772,5,5,5,1,10,7,14, 3511,47212
Queens,Rochdale,40.6752113959,-73.7725878762,1740,1930,2148,3,0,8,1,10,6,1, 2179,16441
Queens,Rockaway Beach,40.5828016968,-73.8223612109,2839,1700,2000,3,0,8,1,16,2,3, 722,13789
Queens,Rockaway Park,40.5803429565,-73.8415337023,1530,1700,1870,1,1,4,1,8,0,3, 392,6033
Manhattan,Roosevelt Island,40.7621596058,-73.9491676923,1570,2825,4478,4,4,4,1,20,3,5, 2038,28509
Staten Island,Rosebank,40.6153049465,-74.0698052672,1400,1550,1850,2,0,5,1,7,0,3, 570,8503
Queens,Rosedale,40.6598164334,-73.7352607943,2092,2325,1800,1,0,5,1,5,3,0, 738,27101
Staten Island,Rossville,40.5494040065,-74.2157285111,1250,1400,1650,1,0,3,1,7,0,1, 214,15341
Queens,Roxbury,40.5673758896,-73.8921376023,800,900,1400,1,0,1,0,2,0,0, 12,2247
Brooklyn,Rugby,40.6555723133,-73.9268821262,1800,2350,1580,5,1,0,1,8,2,0, 3630,21381
Staten Island,Sandy Ground,40.5411399221,-74.2177663607,1350,1500,1750,0,0,0,0,0,0,0, 273,782
Bronx,Schuylerville,40.8265795169,-73.8262027599,1548,1720,1892,4,0,5,1,17,5,3, 1512,24085
Brooklyn,Sea Gate,40.5763753789,-74.007873112,1485,1650,1800,1,0,2,0,0,1,0, 917,24758
Brooklyn,Sheepshead Bay,40.5868901268,-73.9431864048,2400,1665,2200,8,0,8,2,22,5,14, 1144,23028
Staten Island,Shore Acres,40.6097193408,-74.0666776606,1755,1950,2629,0,0,1,0,0,0,0, 458,8503
Staten Island,Silver Lake,40.6191931079,-74.0962902924,1700,1890,2100,3,0,2,1,1,0,1, 305,12337
Manhattan,Soho,40.7221838413,-74.0006566696,1998,2895,3850,1,0,1,0,0,0,0, 6777,7762
Queens,Somerville,40.5977106157,-73.7966475084,3070,3110,3421,0,0,0,0,0,0,0, 858,13113
Bronx,Soundview,40.8210121979,-73.8657460955,1548,1720,1892,5,1,8,1,2,1,2, 3227,92990
Staten Island,South Beach,40.5802474135,-74.0795529254,1460,1620,1800,1,1,1,1,0,0,0, 86,9064
Queens,South Jamaica,40.6969112538,-73.7904261314,1700,1890,2100,3,0,4,1,0,2,0, 2039,44401
Queens,South Ozone Park,40.6685495777,-73.8098647865,1490,1653,1950,3,0,8,1,8,1,1, 988,79540
Brooklyn,South Side,40.7108614727,-73.9580009515,3244,3605,3965,1,0,1,0,3,0,0, 3423,64728
Brooklyn,South Slope - Greenwood Heights,40.660932,-73.987796,1920,1798,2224,2,0,1,0,12,0,2, 1505,11811
Queens,Springfield Gardens,40.6662304904,-73.7604209268,1845,2050,2255,3,1,3,0,0,3,0, 1048,39545
Bronx,Spuyten Duyvil,40.8813949773,-73.9171904821,1548,1720,1892,3,1,3,0,2,2,0, 1100,23963
Queens,St. Albans,40.6944453852,-73.7586760373,1305,1450,2300,3,0,8,1,5,2,2, 987,51816
Staten Island,St. George,40.644981571,-74.0793531251,1838,1700,2298,3,1,8,1,7,0,3, 1670,10274
Staten Island,Stapleton,40.6269276254,-74.0779019266,3650,1945,3200,3,7,5,1,22,0,4, 1275,6342
Brooklyn,Starrett City,40.6475890523,-73.8793697005,1850,1750,1995,2,0,3,1,1,4,1, 1091,17038
Queens,Steinway,40.7759230156,-73.9022896039,2275,2500,3300,3,0,4,1,31,2,3, 1054,25112
Manhattan,Stuyvesant Town,40.7309995548,-73.9740517047,5900,3606,4100,4,0,4,1,28,0,13, 3169,22512
Queens,Sunnyside,40.7401762835,-73.9269161756,1910,2125,2330,4,0,5,1,30,8,10, 1614,52278
Staten Island,Sunnyside,40.6127601576,-74.0971255218,1350,1500,1750,2,1,2,0,1,1,0, 386,38280
Queens,Sunnyside Gardens,40.7456518061,-73.9181928643,2895,3295,3350,2,0,2,1,15,0,5, 2001,7031
Brooklyn,Sunset Park,40.6451029493,-74.0103161853,2423,1725,1900,8,2,8,3,24,6,21, 3300,79113
Manhattan,Sutton Place,40.7602803313,-73.9635561409,3279,3300,4850,3,2,4,5,33,18,31, 4390,31130
Manhattan,Theater District,40.759043,-73.984464,3195,4406,6303,1,0,1,1,3,2,7, 10759,17497
Bronx,Throgs Neck,40.815109258,-73.8163500216,2538,1750,1950,2,0,4,1,5,2,0, 571,24085
Staten Island,Todt Hill,40.5970685181,-74.111328818,1350,1500,1750,1,0,0,0,1,0,0, 80,8205
Staten Island,Tompkinsville,40.6373160671,-74.0805535179,1700,1888,2800,0,0,1,0,0,0,0, 1915,6342
Staten Island,Tottenville,40.5053337612,-74.2465693424,1250,1400,1650,1,0,3,1,3,0,0, 392,8044
Staten Island,Travis,40.586313751,-74.1907371754,1460,1620,1800,1,0,2,0,3,0,2, 96,10717
Manhattan,Tribeca,40.7215219674,-74.0106832856,1650,3800,5625,5,0,4,4,38,6,37, 3956,12695
Manhattan,Tudor City,40.7469174107,-73.9712192872,3145,3495,3844,1,2,3,2,13,0,3, 3896,15846
Manhattan,Turtle Bay,40.7520423695,-73.9677082458,1789,2744,4106,3,0,2,2,16,0,16, 3347,14827
Manhattan,Two Bridges,40.711727,-73.992555,1450,1827,3203,1,0,2,2,10,0,7, 5842,19674
Bronx,Unionport,40.8297742979,-73.8505352445,1300,1600,1775,2,0,3,0,1,2,1, 2420,34584
Bronx,University Heights,40.8557270772,-73.9104159619,1898,1650,1995,8,1,8,2,20,7,7, 6343,50610
Manhattan,Upper East Side,40.7756385733,-73.9605076314,1975,2395,3295,8,3,8,8,50,25,45, 3808,130246
Manhattan,Upper West Side,40.7876579985,-73.9770592363,1400,2750,4350,8,0,8,3,50,14,36, 3337,60567
Queens,Utopia,40.7335002543,-73.7967167803,1530,1700,2100,3,1,3,1,2,5,1, 620,5069
Bronx,Van Cortlandt Village,40.883644,-73.894275,2700,1500,1983,1,0,1,0,1,0,0, 1758,17888
Bronx,Van Nest,40.8436084712,-73.8662991808,1687,1875,2200,2,1,4,1,10,4,2, 2453,15245
Brooklyn,Vinegar Hill,40.7033214988,-73.9811160359,1475,2400,4500,3,0,2,0,13,0,1, 1734,63378
Bronx,Wakefield,40.8947051766,-73.8472005205,1650,1600,1800,3,0,8,1,12,3,2, 2675,47657
Manhattan,Washington Heights,40.8519025256,-73.9369002799,1937,1775,2163,8,1,8,2,32,8,15, 4464,143879
Brooklyn,Weeksville,40.675039865,-73.9305310882,1600,1780,2250,4,1,3,1,4,0,5, 5263,45364
Staten Island,West Brighton,40.6318789265,-74.1071817827,1460,1620,1800,3,2,8,2,14,2,5, 681,12337
Bronx,West Farms,40.8394750567,-73.8777447491,1350,1500,1700,3,0,3,0,2,6,3, 4474,22147
Manhattan,West Village,40.7344339357,-74.0061799813,1100,3310,4995,2,0,2,1,16,1,16, 4905,35011
Bronx,Westchester Square,40.8406194964,-73.842194076,2491,1700,1725,3,3,4,1,13,0,5, 1493,17376
Staten Island,Westerleigh,40.6210904728,-74.1330414395,1125,1250,1800,1,0,3,1,4,1,0, 515,15729
Queens,Whitestone,40.781290766,-73.8142021661,1800,1999,2150,3,0,8,2,7,5,4, 450,28408
Bronx,Williamsbridge,40.8810388782,-73.8574464297,1530,1700,2100,5,1,8,1,8,4,1, 3706,30673
Brooklyn,Williamsburg,40.7071443934,-73.9581152922,1900,2500,2584,8,1,8,3,50,9,26, 2999,64444
Staten Island,Willowbrook,40.6037069263,-74.1320844748,1080,1200,1550,2,0,3,0,0,0,2, 348,10717
Brooklyn,Windsor Terrace,40.6569458358,-73.9800734043,1627,2196,2952,5,0,5,0,13,2,10, 702,11811
Brooklyn,Wingate,40.6609465619,-73.9371868056,1440,1600,1760,4,0,5,1,6,1,3, 3793,24756
Queens,Woodhaven,40.6898868792,-73.8581104655,1550,1555,1925,4,1,8,1,19,4,6, 1781,41948
Bronx,Woodlawn,40.8982726121,-73.8673149681,1530,1700,2100,1,1,5,1,32,3,1, 1023,15716
Staten Island,Woodrow,40.5419676229,-74.2052458248,1250,1400,1650,1,0,2,1,1,0,0, 262,10133
Queens,Woodside,40.7463490886,-73.9018416684,1700,1700,2173,8,0,8,2,50,5,22, 2558,53188
Bronx,Woodstock,40.817445,73.903243,1580,1755,1950,1,0,1,0,0,0,0, 6120,10729
Manhattan,Yorkville,40.7759298499,-73.9471178447,1772,2270,3344,5,2,2,2,15,5,10, 3796,42023
