borough,neighborhood,latitude,longitude,studio_2021,br_1_2021,br_2_2021,no_of_school,no_of_hospital,no_of_restaurant,no_of_bank,no_of_bar,no_of_busstation,no_of_cafe,criminal_rate,population_2020
Manhattan,Chelsea,40.7440347067,-74.0031163347,2323,3125,4959,8,4,5,8,49,12,50, 5339,69741
Staten Island,Chelsea,40.5947260275,-74.1895604552,2175,1500,2000,1,0,2,0,2,1,1, 160,3006
Manhattan,Chinatown,40.7156184223,-73.9942793626,3000,2850,2200,8,3,8,8,50,21,50, 8126,42556
Bronx,City Island,40.8472467049,-73.7864884527,1440,1600,2350,1,0,5,1,6,5,2, 141,9820
Brooklyn,City Line,40.6785699573,-73.8679759808,2772,3080,3388,1,0,3,1,8,1,2, 3000,22779
Manhattan,Civic Center,40.7152289205,-74.0054152987,2288,3000,3690,1,0,1,1,3,0,3, 6267,12695
Bronx,Claremont Village,40.8314283416,-73.9011990339,1575,1750,1925,3,0,4,1,1,2,0, 6267,12276
Bronx,Clason Point,40.80655112,-73.8541441619,1700,1700,2100,1,0,2,0,2,1,0, 294,18648
Queens,Clearview,40.779985,-73.796978,1900,1500,2300,8,1,8,4,45,18,35, 2072,11643
Staten Island,Clifton,40.619178452,-74.0726424455,1590,1767,1943,0,0,1,0,0,0,0, 1240,6342
Manhattan,Clinton,40.7591008915,-73.9961193631,2970,3300,3630,5,3,8,5,48,50,50, 8392,46648
Brooklyn,Clinton Hill,40.6932294219,-73.9678430622,1800,2300,2950,3,0,2,0,28,3,5, 2691,28647
Bronx,Co-op City,40.874294193,-73.8299391081,1457,2400,2700,4,1,8,2,5,7,0, 1470,37369
Brooklyn,Cobble Hill,40.6879197225,-73.9985613922,1512,1680,1900,4,0,3,1,27,1,7, 1872,14791
Queens,College Point,40.7849027493,-73.843045289,1170,1300,1900,2,1,8,1,23,3,1, 1156,33625
Staten Island,Concord,40.6044731897,-74.0840236474,1750,1650,2000,0,0,1,0,0,0,0, 824,8316
Bronx,Concourse,40.8342838073,-73.9155894177,2250,1700,2195,3,0,3,1,3,7,3, 7832,34693
Bronx,Concourse Village,40.8247804908,-73.9158465276,1500,2250,2400,3,0,3,1,8,3,1, 7720,34693
Brooklyn,Coney Island,40.5742925647,-73.9886829582,1275,1417,1575,2,1,8,1,12,3,4, 2237,24758
Queens,Corona,40.7423817502,-73.8568249735,1759,1600,1950,4,0,8,1,9,10,10, 2743,73822
Bronx,Country Club,40.8442459369,-73.8240992675,1620,1800,2000,3,0,8,1,11,4,3, 859,9820
Bronx,Crotona Park East,40.83656,-73.893348,1575,1750,1925,2,0,2,0,1,1,0, 5132,30158
Brooklyn,Crown Heights,40.670829177,-73.9432911907,1945,1850,2200,8,2,8,1,32,4,18, 4006,118623
Brooklyn,Cypress Hills,40.6823910114,-73.8766159646,1710,1900,1993,4,0,8,1,12,1,8, 2474,43256
Brooklyn,Ditmas Park,40.6436751833,-73.9610131247,2772,3080,3388,1,0,1,1,0,0,0, 3891,21508
Staten Island,Dongan Hills,40.5886729482,-74.0963990531,1170,1300,1800,2,0,4,1,5,0,5, 580,9064
Queens,Douglaston,40.7668460979,-73.7424982073,2310,2058,2645,1,0,2,0,1,0,0, 175,12631
Brooklyn,Downtown,40.6908440211,-73.9834633743,2546,3150,4057,1,0,2,1,14,2,2, 6117,20484
Brooklyn,Dumbo,40.7031763282,-73.9887528075,2300,3386,5895,1,0,1,0,6,0,0, 1730,20484
Brooklyn,Dyker Heights,40.6192194577,-74.0193137564,2700,1550,1900,4,2,4,1,13,2,1, 1167,46756
Queens,East Elmhurst,40.7640732388,-73.8670414766,1530,1700,2000,3,0,8,1,22,7,9, 1503,33573
Brooklyn,East Flatbush,40.6417177667,-73.9361025619,1600,1725,1950,4,0,5,1,11,1,4, 1807,99101
Manhattan,East Harlem,40.7922494666,-73.9441822315,1575,2000,2300,8,5,8,3,40,14,31, 8068,124469
Brooklyn,East New York,40.6699257008,-73.8806986392,1850,1750,1995,4,0,5,0,4,3,0, 4232,118401
Bronx,East Tremont,40.8426961579,-73.8873561753,1458,1620,1800,8,1,8,1,8,6,3, 4981,34453
Manhattan,East Village,40.7278467773,-73.9822261651,1563,2425,2933,4,4,5,3,39,11,42, 7624,71436
Brooklyn,East Williamsburg,40.7084924104,-73.9388581527,3162,3514,3865,5,2,5,1,42,4,21, 3614,52998
Bronx,Eastchester,40.8875556774,-73.8278064472,1548,1720,1892,1,0,5,1,6,7,1, 905,17245
Bronx,Edenwald,40.884561303,-73.8480827188,1548,1720,1892,2,0,3,0,4,4,0, 3025,17245
Queens,Edgemere,40.5956418074,-73.7761328239,2414,2683,2951,2,1,2,0,0,2,0, 1029,13789
Bronx,Edgewater Park,40.8219861182,-73.8138851443,1548,1720,1892,1,0,1,0,0,0,0, 793,8930
Staten Island,Egbertville,40.579118743,-74.127272406,1350,1500,1750,0,0,1,0,0,0,0, 138,15721
Staten Island,Elm Park,40.6301467412,-74.1418167897,1350,1500,1750,0,0,0,0,0,0,0, 1411,18037
Queens,Elmhurst,40.7440485051,-73.8816562229,1823,1800,2236,3,0,3,1,17,6,7, 4456,107864
Staten Island,Eltingville,40.5422307475,-74.1643308042,1170,1300,1800,2,0,4,1,3,0,0, 296,27349
Staten Island,Emerson Hill,40.6067943948,-74.0977620697,1350,1500,1750,0,0,1,0,0,0,0, 325,8205
Brooklyn,Erasmus,40.6469260666,-73.9481770992,2772,3080,3388,3,0,3,1,7,1,3, 4161,23845
Queens,Far Rockaway,40.6031344325,-73.7549796804,2195,1775,2160,5,2,8,1,0,2,1, 2529,29324
Bronx,Fieldston,40.8954374269,-73.9056425959,1548,1720,1892,4,0,8,1,15,5,2, 465,22422
Manhattan,Financial District,40.7071071073,-74.0106654452,1618,3027,3650,2,2,3,2,21,2,17, 3854,26496
Brooklyn,Flatbush,40.6363258903,-73.9584010653,4098,1800,2117,8,1,8,2,26,12,11, 2874,44995
Manhattan,Flatiron,40.7396730476,-73.9909471053,2200,5483,9295,1,0,1,1,1,2,2, 8867,16607
Brooklyn,Flatlands,40.6304460438,-73.9291130264,1600,1600,2000,2,1,5,1,8,1,3, 1753,67087
Queens,Floral Park,40.7413784219,-73.7088470589,1863,2070,2300,1,0,3,1,7,1,0, 443,11682
Queens,Flushing,40.764454197,-73.8317730033,1650,1750,2150,8,1,8,8,50,17,27, 3102,69879
Bronx,Fordham,40.8609967964,-73.8964265598,1575,1650,2025,4,2,4,2,20,9,12, 8272,23269
Queens,Forest Hills,40.7252637822,-73.8444750079,1450,1900,2300,8,3,8,3,25,6,3, 1780,88965
Queens,Forest Hills Gardens,40.7146110815,-73.8410221123,2200,1700,2000,4,0,3,1,12,4,1, 1360,73034
Brooklyn,Fort Greene,40.6885272602,-73.9729057437,947,2500,3000,5,4,5,3,42,12,27, 4865,32938
Brooklyn,Fort Hamilton,40.6147681269,-74.0319791454,3015,3350,5595,2,1,3,1,3,2,0, 1033,3528
Staten Island,Fox Hills,40.6173107925,-74.0817399221,2923,1550,1750,0,0,0,0,0,0,0, 1610,6342
Bronx,Foxhurst,40.825558,-73.892691,1548,1720,1892,2,0,2,0,3,2,0, 5812,48780
Queens,Fresh Meadows,40.7343944653,-73.78271337,1575,1750,2200,3,1,8,1,4,9,3, 572,23434
Brooklyn,Fulton Ferry,40.7032810909,-73.9955075189,1850,2600,3450,3,0,4,2,31,0,23, 1518,12367
