neighborhood,id,borough,type,lat,long,studio_2020,br_1_2020,br_2_2020,br_3_2020,studio_2021,br_1_2021,br_2_2021
Hillcrest,nyu_2451_34572.186,Queens,Point,40.723825,-73.797603,,,,,,1650,2100
Hollis,nyu_2451_34572.164,Queens,Point,40.711243,-73.75925,,,,,,1600,2000
Holliswood,nyu_2451_34572.183,Queens,Point,40.720957,-73.767142,,,,,,1895,1852
Homecrest,nyu_2451_34572.290,Brooklyn,Point,40.598525,-73.959185,,,,,,,
Howard Beach,nyu_2451_34572.134,Queens,Point,40.654225,-73.838138,,,,,1600,1675,2200
Howland Hook,nyu_2451_34572.258,Staten Island,Point,40.638433,-74.186223,,,,,,,
Hudson Yards,nyu_2451_34572.302,Manhattan,Point,40.756658,-74.000111,,,,,,,
Huguenot,nyu_2451_34572.237,Staten Island,Point,40.531912,-74.191741,,,,,,1350,
Hunters Point,nyu_2451_34572.273,Queens,Point,40.743414,-73.953868,,,,,,,
Hunts Point,nyu_2451_34572.25,Bronx,Point,40.80973,-73.883315,,,,,,1350,1500
Inwood,nyu_2451_34572.103,Manhattan,Point,40.867684,-73.92121,1657,1876,2273,2570,1575,1733,2100
Jackson Heights,nyu_2451_34572.132,Queens,Point,40.751981,-73.882821,,,,,1600,1800,2150
Jamaica Center,nyu_2451_34572.161,Queens,Point,40.704657,-73.796902,,,,,1575,1815,2200
Jamaica Estates,nyu_2451_34572.184,Queens,Point,40.716805,-73.787227,,,,,1375,1738,2350
Jamaica Hills,nyu_2451_34572.264,Queens,Point,40.71146,-73.796465,,,,,1500,1600,2300
Kensington,nyu_2451_34572.58,Brooklyn,Point,40.642382,-73.980421,1724,1866,2925,3215,1450,1675,2123
Kew Gardens,nyu_2451_34572.137,Queens,Point,40.705179,-73.829819,,,,,1450,1800,2125
Kew Gardens Hills,nyu_2451_34572.158,Queens,Point,40.722578,-73.820878,,,,,1500,1699,2100
Kingsbridge,nyu_2451_34572.6,Bronx,Point,40.881687,-73.902818,,,,,2150,1700,2198
Kingsbridge Heights,nyu_2451_34572.300,Bronx,Point,40.870392,-73.901523,,,,,,,
Kips Bay,MJB.12,Manhattan,Point,40.741068,-73.977322,,,,,2125,2698,3646
Laurelton,nyu_2451_34572.189,Queens,Point,40.667884,-73.740256,,,,,3098,1600,2000
Lefrak City,nyu_2451_34572.190,Queens,Point,40.736075,-73.862525,,,,,,,
Lenox Hill,nyu_2451_34572.110,Manhattan,Point,40.768113,-73.95886,2316,3277,5106,8553,,,
Lighthouse Hill,nyu_2451_34572.293,Staten Island,Point,40.576506,-74.137927,,,,,,,
Lincoln Square,nyu_2451_34572.113,Manhattan,Point,40.773529,-73.985338,2662,4033,6484,9851,,,
Lindenwood,nyu_2451_34572.188,Queens,Point,40.663918,-73.849638,,,,,,,
Little Italy,nyu_2451_34572.122,Manhattan,Point,40.719324,-73.997305,2683,4280,4833,10648,1971,2250,3850
Little Neck,nyu_2451_34572.154,Queens,Point,40.770826,-73.738898,,,,,,1875,3275
Long Island City,nyu_2451_34572.140,Queens,Point,40.750217,-73.939202,,,,,2275,2500,3300
Longwood,nyu_2451_34572.24,Bronx,Point,40.815099,-73.895788,,,,,,,1377
Lower East Side,nyu_2451_34572.120,Manhattan,Point,40.717807,-73.98089,2710,3524,4699,5543,1595,2375,3195
Madison,nyu_2451_34572.297,Brooklyn,Point,40.609378,-73.948415,,,,,,,
Malba,nyu_2451_34572.295,Queens,Point,40.790602,-73.826678,,,,,,,
Manhattan Beach,nyu_2451_34572.78,Brooklyn,Point,40.577914,-73.943537,,,,,2000,1775,2250
Manhattan Terrace,nyu_2451_34572.54,Brooklyn,Point,40.614433,-73.957438,,,,,,,
Manhattan Valley,nyu_2451_34572.125,Manhattan,Point,40.797307,-73.964286,,,,,,,
Manhattanville,nyu_2451_34572.105,Manhattan,Point,40.816934,-73.957385,,,,,,,
Manor Heights,nyu_2451_34572.285,Staten Island,Point,40.60181,-74.120594,,,,,,1200,1450
Mapleton,MJB.14,Brooklyn,Point,40.619768,-73.980701,,,,,,1590,1750
Marble Hill,nyu_2451_34572.7,Manhattan,Point,40.876551,-73.91066,,,,,,1400,1825
Marine Park,nyu_2451_34572.84,Brooklyn,Point,40.609748,-73.931344,,,,,,1650,2100
Mariner's Harbor,nyu_2451_34572.207,Staten Island,Point,40.632546,-74.150085,,,,,,,
Maspeth,nyu_2451_34572.143,Queens,Point,40.725427,-73.896217,,,,,2100,1750,2000
Melrose,nyu_2451_34572.21,Bronx,Point,40.819754,-73.909422,,,,,,1600,2095
Middle Village,nyu_2451_34572.291,Queens,Point,40.716415,-73.881143,,,,,,1800,2100
Midland Beach,nyu_2451_34572.233,Staten Island,Point,40.573527,-74.093483,,,,,,,1700
Midtown,nyu_2451_34572.115,Manhattan,Point,40.754691,-73.981669,2485,3613,6711,12280,2200,3208,4600
Midtown South,nyu_2451_34572.251,Manhattan,Point,40.74851,-73.988713,2589,3680,6138,14892,1085,2500,2888
Midwood,nyu_2451_34572.93,Brooklyn,Point,40.625596,-73.957595,,,,,1500,1688,2000
Mill Basin,nyu_2451_34572.263,Brooklyn,Point,40.615974,-73.915154,,,,,,,1950
Mill Island,nyu_2451_34572.77,Brooklyn,Point,40.606336,-73.908186,,,,,,,
Morningside Heights,nyu_2451_34572.126,Manhattan,Point,40.808,-73.963896,2329,2929,3179,4105,,,
Morris Heights,nyu_2451_34572.16,Bronx,Point,40.847898,-73.919672,,,,,1600,1625,1900
Morris Park,nyu_2451_34572.34,Bronx,Point,40.847549,-73.850402,,,,,2300,1500,2050
Morrisania,nyu_2451_34572.26,Bronx,Point,40.823592,-73.901506,,,,,,,1879
Mott Haven,nyu_2451_34572.22,Bronx,Point,40.806239,-73.9161,,,,,1250,2100,2295
Mount Eden,nyu_2451_34572.270,Bronx,Point,40.843826,-73.916556,,,,,1313,1685,2000
Mount Hope,nyu_2451_34572.271,Bronx,Point,40.848842,-73.908299,,,,,2400,1575,1825
Murray Hill,nyu_2451_34572.116,Manhattan,Point,40.748303,-73.978332,2474,3426,4653,6568,2275,3350,4678
Murray Hill,nyu_2451_34572.181,Queens,Point,40.764126,-73.812763,,,,,,,
Neponsit,nyu_2451_34572.180,Queens,Point,40.572037,-73.857547,,,,,,,
