neighborhood,id,borough,type,lat,long,studio_2020,br_1_2020,br_2_2020,br_3_2020,studio_2021,br_1_2021,br_2_2021
Shore Acres,nyu_2451_34572.253,Staten Island,Point,40.609719,-74.066678,,,,,,,
Silver Lake,nyu_2451_34572.220,Staten Island,Point,40.619193,-74.09629,,,,,,,2100
Soho,nyu_2451_34572.123,Manhattan,Point,40.722184,-74.000657,3589,4556,9711,13621,1998,2895,3850
Somerville,nyu_2451_34572.193,Queens,Point,40.597711,-73.796648,,,,,,,
Soundview,nyu_2451_34572.27,Bronx,Point,40.821012,-73.865746,,,,,,,
South Beach,nyu_2451_34572.205,Staten Island,Point,40.580247,-74.079553,,,,,,,1800
South Jamaica,nyu_2451_34572.165,Queens,Point,40.696911,-73.790426,,,,,,,2100
South Ozone Park,nyu_2451_34572.149,Queens,Point,40.66855,-73.809865,,,,,,1653,1950
South Side,nyu_2451_34572.98,Brooklyn,Point,40.710861,-73.958001,,,,,,,
South Slope - Greenwood Heights,MJB.19,Brooklyn,Point,40.660932,-73.987796,2400,2248,2780,4000,,,
Springfield Gardens,nyu_2451_34572.168,Queens,Point,40.66623,-73.760421,,,,,,2050,
Spuyten Duyvil,nyu_2451_34572.36,Bronx,Point,40.881395,-73.91719,,,,,,,
St. Albans,nyu_2451_34572.166,Queens,Point,40.694445,-73.758676,,,,,,1450,2300
St. George,nyu_2451_34572.198,Staten Island,Point,40.644982,-74.079353,,,,,1838,1700,2298
Stapleton,nyu_2451_34572.200,Staten Island,Point,40.626928,-74.077902,,,,,3650,1945,3200
Starrett City,nyu_2451_34572.74,Brooklyn,Point,40.647589,-73.87937,,,,,,,
Steinway,nyu_2451_34572.174,Queens,Point,40.775923,-73.90229,,,,,,,
Stuyvesant Town,nyu_2451_34572.276,Manhattan,Point,40.731,-73.974052,,,,,5900,3606,4100
Sunnyside,nyu_2451_34572.141,Queens,Point,40.740176,-73.926916,,,,,,,
Sunnyside,nyu_2451_34572.221,Staten Island,Point,40.61276,-74.097126,,,,,,,
Sunnyside Gardens,nyu_2451_34572.278,Queens,Point,40.745652,-73.918193,,,,,,,
Sunset Park,nyu_2451_34572.49,Brooklyn,Point,40.645103,-74.010316,1400,1912,2300,2500,2423,1725,1900
Theater District,MJB.20,Manhattan,Point,40.759043,-73.984464,,,,,3279,3300,4850
Sutton Place,nyu_2451_34572.272,Manhattan,Point,40.76028,-73.963556,,,,,,,
Throgs Neck,nyu_2451_34572.29,Bronx,Point,40.815109,-73.81635,,,,,2538,1750,1950
Todt Hill,nyu_2451_34572.204,Staten Island,Point,40.597069,-74.111329,,,,,,,
Tompkinsville,nyu_2451_34572.219,Staten Island,Point,40.637316,-74.080554,,,,,,1888,2800
Tottenville,nyu_2451_34572.218,Staten Island,Point,40.505334,-74.246569,,,,,,1400,
Travis,nyu_2451_34572.211,Staten Island,Point,40.586314,-74.190737,,,,,,,1800
