borough,neighborhood,latitude,longitude,studio_2021,br_1_2021,br_2_2021,school,hospital,no_of_restaurant,bank,criminal_rate,population_2020
Manhattan,Chinatown,40.71561842,-73.99427936,3000,2850,2200,1,1,50,1,8126,42556
Bronx,City Island,40.8472467,-73.78648845,1440,1600,2350,1,0,48,1,141,9820
Brooklyn,City Line,40.67856996,-73.86797598,2772,3080,3388,1,0,25,1,3000,22779
Manhattan,Civic Center,40.71522892,-74.0054153,2288,3000,3690,1,0,8,1,6267,12695
Bronx,Claremont Village,40.83142834,-73.90119903,1575,1750,1925,1,0,34,1,6267,12276
Bronx,Clason Point,40.80655112,-73.85414416,1700,1700,2100,1,0,11,0,294,18648
Queens,Clearview,40.779985,-73.796978,1900,1500,2300,1,1,50,1,2072,11643
Staten Island,Clifton,40.61917845,-74.07264245,1590,1767,1943,0,0,5,0,1240,6342
Manhattan,Clinton,40.75910089,-73.99611936,2970,3300,3630,1,1,50,1,8392,46648
Brooklyn,Clinton Hill,40.69322942,-73.96784306,1800,2300,2950,1,0,19,0,2691,28647
Bronx,Co-op City,40.87429419,-73.82993911,1457,2400,2700,1,1,50,1,1470,37369
Brooklyn,Cobble Hill,40.68791972,-73.99856139,1512,1680,1900,1,0,29,1,1872,14791
Queens,College Point,40.78490275,-73.84304529,1170,1300,1900,1,1,50,1,1156,33625
Staten Island,Concord,40.60447319,-74.08402365,1750,1650,2000,0,0,1,0,824,8316
Bronx,Concourse,40.83428381,-73.91558942,2250,1700,2195,1,1,25,1,7832,34693
Bronx,Concourse Village,40.82478049,-73.91584653,1500,2250,2400,1,0,20,1,7720,34693
Brooklyn,Coney Island,40.57429256,-73.98868296,1275,1417,1575,1,1,50,1,2237,24758
Queens,Corona,40.74238175,-73.85682497,1759,1600,1950,1,1,50,1,2743,73822
Bronx,Country Club,40.84424594,-73.82409927,1620,1800,2000,1,1,50,1,859,9820
Bronx,Crotona Park East,40.83656,-73.893348,1575,1750,1925,1,0,13,0,5132,30158
Brooklyn,Crown Heights,40.67082918,-73.94329119,1945,1850,2200,1,1,50,1,4006,118623
Brooklyn,Cypress Hills,40.68239101,-73.87661596,1710,1900,1993,1,1,50,1,2474,43256
Brooklyn,Ditmas Park,40.64367518,-73.96101312,2772,3080,3388,1,0,2,1,3891,21508
Staten Island,Dongan Hills,40.58867295,-74.09639905,1170,1300,1800,1,0,39,1,580,9064
Queens,Douglaston,40.7668461,-73.74249821,2310,2058,2645,1,0,11,0,175,12631
Brooklyn,Downtown,40.69084402,-73.98346337,2546,3150,4057,1,0,13,1,6117,20484
Brooklyn,Dumbo,40.70317633,-73.98875281,2300,3386,5895,1,0,6,0,1730,20484
Brooklyn,Dyker Heights,40.61921946,-74.01931376,2700,1550,1900,1,1,32,1,1167,46756
Queens,East Elmhurst,40.76407324,-73.86704148,1530,1700,2000,1,0,50,1,1503,33573
Brooklyn,East Flatbush,40.64171777,-73.93610256,1600,1725,1950,1,1,44,1,1807,99101
Manhattan,East Harlem,40.79224947,-73.94418223,1575,2000,2300,1,1,50,1,8068,124469
Brooklyn,East New York,40.6699257,-73.88069864,1850,1750,1995,1,0,45,0,4232,118401
Bronx,East Tremont,40.84269616,-73.88735618,1458,1620,1800,1,1,50,1,4981,34453
Manhattan,East Village,40.72784678,-73.98222617,1563,2425,2933,1,1,44,1,7624,71436
Brooklyn,East Williamsburg,40.70849241,-73.93885815,3162,3514,3865,1,1,41,1,3614,52998
Bronx,Eastchester,40.88755568,-73.82780645,1548,1720,1892,1,1,44,1,905,17245
Bronx,Edenwald,40.8845613,-73.84808272,1548,1720,1892,1,0,26,0,3025,17245
Queens,Edgemere,40.59564181,-73.77613282,2414,2683,2951,1,1,10,0,1029,13789
Bronx,Edgewater Park,40.82198612,-73.81388514,1548,1720,1892,1,0,9,0,793,8930
Staten Island,Egbertville,40.57911874,-74.12727241,1350,1500,1750,0,0,8,0,138,15721
Staten Island,Elm Park,40.63014674,-74.14181679,1350,1500,1750,0,0,0,0,1411,18037
Queens,Elmhurst,40.74404851,-73.88165622,1823,1800,2236,1,0,20,1,4456,107864
Staten Island,Eltingville,40.54223075,-74.1643308,1170,1300,1800,1,0,32,1,296,27349
Staten Island,Emerson Hill,40.60679439,-74.09776207,1350,1500,1750,0,0,3,0,325,8205
Brooklyn,Erasmus,40.64692607,-73.9481771,2772,3080,3388,1,0,22,1,4161,23845
Queens,Far Rockaway,40.60313443,-73.75497968,2195,1775,2160,1,1,50,1,2529,29324
Bronx,Fieldston,40.89543743,-73.9056426,1548,1720,1892,1,1,50,1,465,22422
Manhattan,Financial District,40.70710711,-74.01066545,1618,3027,3650,1,1,20,1,3854,26496
Brooklyn,Flatbush,40.63632589,-73.95840107,4098,1800,2117,1,1,50,1,2874,44995
Manhattan,Flatiron,40.73967305,-73.99094711,2200,5483,9295,1,1,2,1,8867,16607
Brooklyn,Flatlands,40.63044604,-73.92911303,1600,1600,2000,1,1,44,1,1753,67087
Queens,Floral Park,40.74137842,-73.70884706,1863,2070,2300,1,0,28,1,443,11682
Queens,Flushing,40.7644542,-73.831773,1650,1750,2150,1,1,50,1,3102,69879
Bronx,Fordham,40.8609968,-73.89642656,1575,1650,2025,1,1,34,1,8272,23269
Queens,Forest Hills,40.72526378,-73.84447501,1450,1900,2300,1,1,50,1,1780,88965
Queens,Forest Hills Gardens,40.71461108,-73.84102211,2200,1700,2000,1,0,25,1,1360,73034
Brooklyn,Fort Greene,40.68852726,-73.97290574,947,2500,3000,1,1,42,1,4865,32938
Brooklyn,Fort Hamilton,40.61476813,-74.03197915,3015,3350,5595,1,1,23,1,1033,775
Staten Island,Fox Hills,40.61731079,-74.08173992,2923,1550,1750,0,0,0,0,1610,6342
Bronx,Foxhurst,40.825558,-73.892691,1548,1720,1892,1,0,13,0,5812,48780
Queens,Fresh Meadows,40.73439447,-73.78271337,1575,1750,2200,1,1,50,1,572,23434
Brooklyn,Fulton Ferry,40.70328109,-73.99550752,1850,2600,3450,1,0,30,1,1518,12367
Manhattan,Garment District,40.753735,-73.990759,1400,3175,4000,1,0,2,1,13024,4769
Brooklyn,Georgetown,40.62384524,-73.91607484,1485,1650,2049,1,0,38,1,1051,93534
Brooklyn,Gerritsen Beach,40.59084843,-73.93010171,1296,1440,2600,1,0,35,1,799,23028
Queens,Glen Oaks,40.7494408,-73.71548119,1564,1738,2000,1,1,46,1,401,11682
Queens,Glendale,40.70276243,-73.87074167,2000,1675,2000,1,0,50,1,575,35135
Brooklyn,Gowanus,40.67393114,-73.99444087,2400,2000,2350,1,0,29,1,1749,14791
Manhattan,Gramercy,40.73720983,-73.98137595,5800,3398,3630,1,1,28,1,6467,28628
Staten Island,Graniteville,40.62017151,-74.15315246,1485,1650,1850,1,1,22,1,1013,11164
Staten Island,Grant City,40.57621559,-74.10585599,1530,1700,1900,1,0,10,0,734,53877
Staten Island,Grasmere,40.59826836,-74.07667436,1350,1500,1750,1,0,25,1,661,9064
Brooklyn,Gravesend,40.59526001,-73.97347088,2350,1600,1838,1,0,50,1,1172,117297
Staten Island,Great Kills,40.54948023,-74.14932381,1260,1400,1750,1,0,50,1,336,27921
Brooklyn,Greenpoint,40.73020098,-73.95424093,2300,2400,2550,1,1,50,1,1523,38980
Staten Island,Greenridge,40.55529524,-74.17079415,1350,1500,1750,1,0,28,0,365,8847
Manhattan,Greenwich Village,40.72693289,-73.99991403,2100,3495,4500,1,1,43,1,7627,34147
Brooklyn,Greenwood Heights,40.657649,-73.997425,2012,1900,2100,1,0,45,1,1267,5
Staten Island,Grymes Hill,40.62418479,-74.0872482,1350,1500,1750,1,0,16,1,1080,12337
Manhattan,Hamilton Heights,40.82360428,-73.94968792,1593,1694,2071,1,1,50,1,6734,49410
Queens,Hammels,40.58733774,-73.80553003,2839,1700,2000,1,0,17,0,1026,13000
Staten Island,Heartland Village,40.58913895,-74.15902208,1600,2742,3900,1,0,13,1,535,89792
Manhattan,Hell's Kitchen,40.762535,-73.993621,3410,3790,5500,0,0,0,0,8211,59524
Bronx,High  Bridge,40.83662301,-73.92610209,1350,1725,1900,1,1,43,1,5927,32456
Brooklyn,Highland Park,40.68199893,-73.89034571,1750,1935,2150,1,0,30,1,1704,27
Queens,Hillcrest,40.7238249,-73.79760301,1485,1650,2100,1,1,48,1,513,17834
Queens,Hollis,40.71124344,-73.75925009,1440,1600,2000,1,0,50,1,1196,24576
Queens,Holliswood,40.72095721,-73.76714167,1705,1895,1852,1,1,32,1,700,11788
Brooklyn,Homecrest,40.5985251,-73.95918459,1462,1625,1787,1,1,43,1,1518,26389
Queens,Howard Beach,40.65422528,-73.83813765,1600,1675,2200,1,0,50,1,397,13660
Staten Island,Howland Hook,40.63843284,-74.18622332,1350,1500,1750,0,0,6,0,9,1073
Manhattan,Hudson Yards,40.75665808,-74.00011136,3500,3850,5120,1,0,22,1,6452,7762
Staten Island,Huguenot,40.53191192,-74.19174106,1200,1350,1500,1,0,8,1,149,10133
Queens,Hunters Point,40.74341409,-73.95386782,2520,2800,3080,1,1,44,1,1324,16108
Bronx,Hunts Point,40.80972988,-73.88331506,1215,1350,1500,1,0,42,1,744,15131
Manhattan,Inwood,40.86768396,-73.92121042,1575,1733,2100,1,1,43,1,2624,36299
Queens,Jackson Heights,40.75198138,-73.88282109,1600,1800,2150,1,1,42,1,5276,101848
Queens,Jamaica Center,40.70465736,-73.79690166,1575,1815,2200,1,1,46,1,3919,61026
Queens,Jamaica Estates,40.71680483,-73.78722697,1375,1738,2350,1,0,44,1,1176,11788
Queens,Jamaica Hills,40.71145964,-73.79646462,1500,1600,2300,1,0,5,0,3386,19646
Brooklyn,Kensington,40.64238196,-73.98042111,1450,1675,2123,1,1,48,1,1444,41758
Queens,Kew Gardens,40.70517904,-73.82981906,1450,1800,2125,1,0,50,1,1515,24371
Queens,Kew Gardens Hills,40.72257824,-73.82087765,1500,1699,2100,1,0,50,1,878,36009
Bronx,Kingsbridge,40.88168737,-73.90281799,2150,1700,2198,1,1,30,1,3370,11403
Bronx,Kingsbridge Heights,40.87039239,-73.90152265,1548,1720,1892,1,1,24,0,4976,17888
Manhattan,Kips Bay,40.741068,-73.977322,2125,2698,3646,1,0,11,1,4612,31760
Manhattan,Koreatown,40.74771,-73.98678,3441,3600,3750,0,0,0,0,11305,1785
Queens,Laurelton,40.6678839,-73.74025608,3098,1600,2000,1,0,24,1,745,26088
Queens,Lefrak City,40.73607457,-73.86252471,1450,1900,2300,1,1,21,1,3380,91510
Manhattan,Lenox Hill,40.76811266,-73.95885969,1852,2621,4084,1,1,19,1,4030,28509
Staten Island,Lighthouse Hill,40.57650629,-74.13792664,1350,1500,1750,0,0,0,0,93,8205
Manhattan,Lincoln Square,40.77352889,-73.98533777,2129,3226,5187,1,1,47,1,4300,35348
Queens,Lindenwood,40.66391842,-73.84963782,1710,1100,1225,1,0,34,1,688,13660
Manhattan,Little Italy,40.71932379,-73.99730467,1971,2250,3850,1,0,4,1,8563,7762
Queens,Little Neck,40.77082619,-73.73889776,1687,1875,3275,1,0,50,1,169,12631
Queens,Long Island City,40.75021735,-73.93920224,2275,2500,3300,1,1,50,1,2753,16108
Bronx,Longwood,40.81509905,-73.8957882,1548,1720,1892,1,1,36,1,4532,40289
Manhattan,Lower East Side,40.71780675,-73.98089032,1595,2375,3195,1,1,14,1,7800,49149
Brooklyn,Madison,40.6093777,-73.94841515,889,1039,1211,1,0,31,0,1080,41465
Queens,Malba,40.79060156,-73.82667757,1800,1999,2150,1,0,16,0,219,18693
Brooklyn,Manhattan Beach,40.5779135,-73.94353723,2000,1775,2250,1,1,31,0,348,23028
Brooklyn,Manhattan Terrace,40.61443251,-73.95743841,2546,3150,4057,1,1,50,1,1541,51973
Manhattan,Manhattan Valley,40.79730704,-73.96428618,3726,4140,4554,1,1,47,1,4422,25875
Manhattan,Manhattanville,40.81693443,-73.95738539,2293,2532,3635,1,1,37,1,4934,22183
Staten Island,Manor Heights,40.60180958,-74.120594,1080,1200,1450,1,0,12,0,375,8205
Brooklyn,Mapleton,40.619768,-73.980701,1431,1590,1750,1,1,41,1,1390,19568
Manhattan,Marble Hill,40.87655078,-73.91065966,1260,1400,1825,1,1,50,1,3070,11403
Brooklyn,Marine Park,40.60974778,-73.93134404,1485,1650,2100,1,0,50,1,893,15651
Staten Island,Mariner's Harbor,40.63254639,-74.15008537,1080,1200,1450,1,0,48,1,1099,11164
Queens,Maspeth,40.72542737,-73.89621714,2100,1750,2000,1,0,50,1,842,43257
Bronx,Melrose,40.81975437,-73.90942161,1440,1600,2095,1,1,50,1,8129,42651
Queens,Middle Village,40.71641451,-73.88114319,1620,1800,2100,1,0,45,1,619,34474
Staten Island,Midland Beach,40.57352691,-74.09348266,1300,1490,1700,1,0,34,1,282,14541
Manhattan,Midtown,40.7546911,-73.98166883,2200,3208,4600,1,1,36,1,12139,19568
Manhattan,Midtown South,40.74850966,-73.98871313,1085,2500,2888,1,1,12,1,12027,16607
Brooklyn,Midwood,40.6255959,-73.95759523,1500,1688,2000,1,1,36,1,1340,52891
Brooklyn,Mill Basin,40.61597424,-73.91515392,1580,1755,1950,1,0,4,0,1077,15651
Brooklyn,Mill Island,40.60633642,-73.90818572,1485,1650,2049,1,0,20,0,129,48356
Manhattan,Morningside Heights,40.80799974,-73.96389628,1863,2343,2543,1,1,16,1,3414,38865
Bronx,Morris Heights,40.84789793,-73.91967159,1600,1625,1900,1,1,40,1,5332,27341
Bronx,Morris Park,40.84754906,-73.85040178,2300,1500,2050,1,1,8,1,1405,25077
Bronx,Morrisania,40.82359199,-73.90150649,1521,1691,1879,1,1,22,1,7406,37607
Bronx,Mott Haven,40.80623875,-73.91609987,1250,2100,2295,1,1,42,1,4338,28859
Bronx,Mount Eden,40.84382618,-73.91655552,1313,1685,2000,1,0,6,0,6942,49651
Bronx,Mount Hope,40.84884161,-73.90829931,2400,1575,1825,1,1,15,0,7340,49099
Manhattan,Murray Hill,40.74830308,-73.97833208,2275,3350,4678,1,1,29,1,8577,31760
Queens,Murray Hill,40.76412612,-73.81276269,3505,4492,5898,1,1,45,1,1061,57387
Queens,Neponsit,40.57203673,-73.85754672,1530,1700,1870,1,0,12,0,93,21202
Staten Island,New Brighton,40.64061456,-74.08701651,1440,1600,1800,1,0,15,0,2052,10274
Staten Island,New Dorp,40.57257232,-74.11647944,1395,1550,1500,1,1,50,1,786,14541
Staten Island,New Dorp Beach,40.56425549,-74.10432707,1350,1500,1750,1,0,29,0,531,14541
Brooklyn,New Lots,40.66274428,-73.88511776,1850,1750,1995,1,0,35,1,4182,40016
Staten Island,New Springville,40.59425238,-74.16496031,1300,1450,1850,1,0,25,1,381,10717
Manhattan,Noho,40.72325902,-73.98843368,2487,3200,7248,0,0,0,0,9915,5532
Manhattan,NoLiTa,40.722386,-73.995149,2970,3025,3500,1,0,0,0,9255,4843
Manhattan,NoMad,40.744109,-73.986659,1600,1975,2300,0,0,0,1,10476,20015
Queens,North Corona,40.754071,-73.85751791,1200,4750,7150,1,0,29,1,2820,43434
Bronx,North Riverdale,40.90854283,-73.90453055,1525,1975,2500,1,1,50,1,334,23963
Brooklyn,North Side,40.71482291,-73.95880858,3244,3605,3965,1,0,27,1,3122,61391
Bronx,Norwood,40.87722416,-73.87939074,1700,1635,1895,1,1,50,1,3401,43466
Queens,Oakland Gardens,40.74561857,-73.75494976,1440,1600,2000,1,0,50,1,520,25249
Staten Island,Oakwood,40.55846224,-74.12156594,1255,1395,1725,1,0,16,0,327,11194
Brooklyn,Ocean Hill,40.67840255,-73.91306832,2050,1800,2100,1,1,48,1,4995,32625
Brooklyn,Ocean Parkway,40.61305977,-73.96836678,1620,1800,2200,1,0,27,1,1347,44840
Staten Island,Old Town,40.59632891,-74.08751118,1350,1500,1750,1,0,23,1,657,8589
Bronx,Olinville,40.87137078,-73.86332362,1001,1090,1250,1,1,33,1,3329,30673
Queens,Ozone Park,40.68070847,-73.84320266,2100,1600,2100,1,0,49,1,1960,23518
Brooklyn,Paerdegat Basin,40.63131755,-73.90233474,1485,1650,2049,1,0,25,0,1092,22191
Staten Island,Park Hill,40.60919044,-74.08015735,1350,1500,1750,1,0,22,0,1173,8503
Brooklyn,Park Slope,40.67232052,-73.9770503,2500,2475,2700,1,1,31,1,1956,57405
Manhattan,Park/Fifth Ave. to 79th St.,40.773673,-73.955823,1150,1600,1889,0,0,2,0,4340,8239
Bronx,Parkchester,40.83793782,-73.85600311,3431,3628,9738,1,1,48,1,3166,33602
Bronx,Pelham Bay,40.85064141,-73.83207378,1700,1650,1950,1,1,8,1,922,9820
Bronx,Pelham Gardens,40.86296562,-73.84161195,1215,1350,1485,1,0,19,0,1314,29402
Bronx,Pelham Parkway,40.8574135,-73.85475564,1916,1899,2150,1,1,43,1,1642,32425
Staten Island,Pleasant Plains,40.52469938,-74.21983107,1350,1500,1750,1,0,21,1,133,6704
Queens,Pomonok,40.73493618,-73.8048612,1530,1700,2100,1,0,21,1,1396,17834
Staten Island,Port Ivory,40.63968298,-74.17464533,1350,1500,1750,1,0,5,0,355,3918
Bronx,Port Morris,40.80166363,-73.91322139,1548,1720,1892,1,0,32,0,1791,28859
Staten Island,Port Richmond,40.63366931,-74.12943427,1350,1500,1750,1,0,50,1,1411,22609
Staten Island,Prince's Bay,40.52626407,-74.20152556,1250,1400,1650,1,1,11,1,138,10133
Brooklyn,Prospect Heights,40.67682226,-73.96485924,1850,2375,2700,1,1,50,1,2625,23515
Brooklyn,Prospect Lefferts Gardens,40.65842002,-73.95489867,1594,1675,2328,1,1,50,1,4351,24756
Brooklyn,Prospect Park South,40.6470086,-73.96261317,1699,2300,4650,1,0,13,1,3886,15
Queens,Queens Village,40.71889309,-73.73871485,2750,1650,2000,1,0,50,1,1235,54345
Queens,Queensboro Hill,40.74457231,-73.82580915,1800,2000,2200,1,1,50,1,815,23638
Queens,Queensbridge,40.7560913,-73.9456307,2520,2800,3080,1,1,18,1,2414,16477
Staten Island,Randall Manor,40.63563001,-74.09805062,1350,1500,1750,1,0,19,0,582,10239
Queens,Ravenswood,40.76170453,-73.93157506,2520,2800,3080,1,0,39,1,2921,16477
Brooklyn,Red Hook,40.67625323,-74.01275897,1673,2000,2400,1,1,49,1,865,14791
Queens,Rego Park,40.72897409,-73.85782687,1675,1850,2300,1,0,34,1,2145,30741
Brooklyn,Remsen Village,40.65211745,-73.91665332,1811,1695,1980,1,1,44,1,2877,19557
Queens,Richmond Hill,40.69794731,-73.83183321,1675,1650,2100,1,0,31,1,1864,34100
Staten Island,Richmond Town,40.56960594,-74.1340573,1350,1500,1750,1,0,14,1,239,11194
Staten Island,Richmond Valley,40.51954146,-74.22957081,1350,1500,1750,1,1,24,1,116,34058
Queens,Ridgewood,40.70832316,-73.90143518,1375,1800,2000,1,1,50,1,2254,66402
Bronx,Riverdale,40.89083449,-73.91258546,1800,1850,2600,1,0,30,1,574,47927
Manhattan,Riverside Dr./West End Ave.,40.836572,-73.948488,1864,2731,4772,1,1,40,1,3511,472
Queens,Rochdale,40.6752114,-73.77258788,1740,1930,2148,1,0,50,1,2179,16441
Queens,Rockaway Beach,40.5828017,-73.82236121,2839,1700,2000,1,0,50,1,722,13789
Queens,Rockaway Park,40.58034296,-73.8415337,1530,1700,1870,1,1,37,1,392,6033
Manhattan,Roosevelt Island,40.76215961,-73.94916769,1570,2825,4478,1,1,36,1,2038,28509
Staten Island,Rosebank,40.61530495,-74.06980527,1400,1550,1850,1,0,48,1,570,8503
Queens,Rosedale,40.65981643,-73.73526079,2092,2325,1800,1,0,40,1,738,27101
Staten Island,Rossville,40.54940401,-74.21572851,1250,1400,1650,1,0,22,1,214,15341
Queens,Roxbury,40.56737589,-73.8921376,800,900,1400,1,0,4,0,12,2247
Brooklyn,Rugby,40.65557231,-73.92688213,1800,2350,1580,1,1,0,1,3630,21381
Staten Island,Sandy Ground,40.54113992,-74.21776636,1350,1500,1750,0,0,0,0,273,782
Bronx,Schuylerville,40.82657952,-73.82620276,1548,1720,1892,1,0,46,1,1512,24085
Brooklyn,Sea Gate,40.57637538,-74.00787311,1485,1650,1800,1,0,11,0,917,24758
Brooklyn,Sheepshead Bay,40.58689013,-73.9431864,2400,1665,2200,1,0,50,1,1144,23028
Staten Island,Shore Acres,40.60971934,-74.06667766,1755,1950,2629,0,0,6,0,458,8503
Staten Island,Silver Lake,40.61919311,-74.09629029,1700,1890,2100,1,0,15,1,305,12337
Manhattan,Soho,40.72218384,-74.00065667,1998,2895,3850,1,0,1,0,6777,7762
Queens,Somerville,40.59771062,-73.79664751,3070,3110,3421,0,0,0,0,858,13113
Bronx,Soundview,40.8210122,-73.8657461,1548,1720,1892,1,1,50,1,3227,92990
Staten Island,South Beach,40.58024741,-74.07955293,1460,1620,1800,1,1,6,1,86,9064
Queens,South Jamaica,40.69691125,-73.79042613,1700,1890,2100,1,0,37,1,2039,44401
Queens,South Ozone Park,40.66854958,-73.80986479,1490,1653,1950,1,0,50,1,988,79540
Brooklyn,South Side,40.71086147,-73.95800095,3244,3605,3965,1,0,1,0,3423,64728
Brooklyn,South Slope - Greenwood Heights,40.660932,-73.987796,1920,1798,2224,1,0,5,0,1505,11811
Queens,Springfield Gardens,40.66623049,-73.76042093,1845,2050,2255,1,1,29,0,1048,39545
Bronx,Spuyten Duyvil,40.88139498,-73.91719048,1548,1720,1892,1,1,24,0,1100,23963
Queens,St. Albans,40.69444539,-73.75867604,1305,1450,2300,1,1,50,1,987,51816
Staten Island,St. George,40.64498157,-74.07935313,1838,1700,2298,1,1,50,1,1670,10274
Staten Island,Stapleton,40.62692763,-74.07790193,3650,1945,3200,1,1,49,1,1275,6342
Brooklyn,Starrett City,40.64758905,-73.8793697,1850,1750,1995,1,0,26,1,1091,17038
Queens,Steinway,40.77592302,-73.9022896,2275,2500,3300,1,0,35,1,1054,25112
Manhattan,Stuyvesant Town,40.73099955,-73.9740517,5900,3606,4100,1,1,32,1,3169,22512
Queens,Sunnyside,40.74017628,-73.92691618,1910,2125,2330,1,0,48,1,1614,52278
Staten Island,Sunnyside,40.61276016,-74.09712552,1350,1500,1750,1,1,15,0,386,38280
